Boston,26,19,33,48,63,65,74,75,69,54,49,38
New York City,30,24,38,55,69,72,79,79,75,58,54,41
Philadelphia,30,26,39,55,69,74,78,78,74,57,52,41
Baltimore,31,26,40,55,69,74,77,75,72,56,51,40
Washington,36,30,46,60,73,78,82,79,75,59,54,44
Richmond,38,32,48,60,72,78,79,78,75,75,53,44
Wilmington,46,41,56,64,71,81,83,79,77,66,61,50
Charlotte,41,41,54,62,72,80,82,80,73,61,55,46
Charleston,49,45,59,68,73,81,83,81,77,68,64,46
Orlando,61,60,73,77,79,80,83,83,82,76,76,65
Miami,71,69,77,81,81,84,85,85,84,81,79,72
Tampa,64,61,74,79,82,84,84,85,85,79,77,66
Atlanta,41,38,55,64,72,79,82,80,73,63,56,48
Dallas,46,46,57,67,73,83,88,88,83,72,60,51
Houston,30,43,47,50,61,73,74,74,62,56,40,36
Austin,49,52,60,71,75,81,86,88,84,75,64,55
San Antonio,50,53,61,72,77,82,86,88,84,76,65,57
Albuquerque,38,44,53,57,62,78,77,79,74,62,47,40
Phoenix,59,66,72,75,79,94,95,97,90,80,64,58
San Diego,61,63,66,66,64,69,73,76,77,75,65,61
Los Angeles,62,64,68,66,64,71,74,77,79,76,64,59
San Francisco,54,59,61,59,59,63,67,68,67,66,56,57
Las Vegas,53,60,67,69,75,92,91,93,88,74,56,51
Salt Lake City,35,44,50,53,60,78,78,78,71,61,41,38
Portland,44,49,53,53,61,71,74,73,64,60,46,44
Seattle,47,51,53,53,61,69,73,71,63,59,47,47
Denver,34,34,44,48,51,69,71,73,68,56,40,31
Milwaukee,23,14,35,46,57,64,71,70,68,54,46,32
Chicago,25,18,38,53,64,70,75,74,72,57,49,35
Indianapolis,26,20,40,55,67,73,75,73,71,57,49,34
Columbus,25,19,37,53,67,71,72,71,69,55,48,35
Cleveland,25,16,33,48,64,69,73,73,71,57,52,37
Detroit,23,16,35,48,63,68,72,71,69,54,47,35
San Jose,52,58,61,60,61,68,71,71,70,68,54,55
Madison,20,11,35,49,60,67,71,70,67,52,44,29
New Orleans,62,53,57,78,72,84,76,83,80,70,52,56
Savannah,50,48,62,71,74,82,84,82,78,69,64,56
Honolulu,72,75,74,76,76,81,84,84,84,82,80,74
Minneapolis,20,12,36,49,58,70,74,70,68,52,43,25
Sacramento,50,56,62,62,65,76,77,77,74,70,52,54
Iowa City,22,14,38,52,63,71,74,71,70,54,44,31
Newport,28,20,33,46,58,64,72,73,68,55,50,38
Providence,26,19,33,49,63,67,75,75,69,54,48,38
Saint Louis,33,27,47,60,70,78,81,78,75,61,53,39
Lahaina,72,73,72,75,74,78,81,82,81,79,78,72
Nashville,38,33,51,62,71,78,81,77,74,62,56,43
Louisville,34,28,47,60,71,78,80,77,74,62,53,41
San Juan,79,79,79,82,83,84,84,83,85,85,81,80
Kansas City,30,26,46,57,64,76,78,74,73,57,49,35
Oklahoma City,39,38,53,62,67,80,83,81,78,64,54,42
